"module","method","path","auth","class","handler","file","line","requestBodyType","responseType","statusHint"
"01-auth-users","POST","/v1/auth/login/email","Public (no token)","AuthController","loginWithEmail","C:\Users\M16-PC\Projects\Sakany\src\main\java\com\theMs\sakany\accounts\internal\api\controllers\AuthController.java","136","LoginEmailRequest","AuthResponse","200 OK"
"01-auth-users","POST","/v1/auth/login/phone","Public (no token)","AuthController","loginWithPhone","C:\Users\M16-PC\Projects\Sakany\src\main\java\com\theMs\sakany\accounts\internal\api\controllers\AuthController.java","107","LoginPhoneRequest","AuthResponse","200 OK"
"01-auth-users","GET","/v1/auth/me","Bearer token (authenticated user)","AuthController","me","C:\Users\M16-PC\Projects\Sakany\src\main\java\com\theMs\sakany\accounts\internal\api\controllers\AuthController.java","179",,"Map<String, Object>","200 OK"
"01-auth-users","POST","/v1/auth/refresh","Public (no token)","AuthController","refresh","C:\Users\M16-PC\Projects\Sakany\src\main\java\com\theMs\sakany\accounts\internal\api\controllers\AuthController.java","156","RefreshRequest","AuthResponse","200 OK"
"01-auth-users","POST","/v1/auth/register","Public (no token)","AuthController","register","C:\Users\M16-PC\Projects\Sakany\src\main\java\com\theMs\sakany\accounts\internal\api\controllers\AuthController.java","58","RegisterRequest","AuthResponse","201 Created"
"01-auth-users","POST","/v1/auth/send-otp","Public (no token)","AuthController","sendOtp","C:\Users\M16-PC\Projects\Sakany\src\main\java\com\theMs\sakany\accounts\internal\api\controllers\AuthController.java","85","Map<String, String>","Map<String, String>","200 OK"
"02-properties","POST","/v1/buildings","Bearer token (authenticated user)","BuildingController","createBuilding","C:\Users\M16-PC\Projects\Sakany\src\main\java\com\theMs\sakany\property\internal\api\controllers\BuildingController.java","29","CreateBuildingRequest","UUID","201 Created"
"02-properties","GET","/v1/buildings/compound/{compoundId}","Bearer token (authenticated user)","BuildingController","getBuildingsByCompound","C:\Users\M16-PC\Projects\Sakany\src\main\java\com\theMs\sakany\property\internal\api\controllers\BuildingController.java","36",,"List<BuildingResponse>","200 OK"
"02-properties","POST","/v1/compounds","Bearer token (authenticated user)","CompoundController","createCompound","C:\Users\M16-PC\Projects\Sakany\src\main\java\com\theMs\sakany\property\internal\api\controllers\CompoundController.java","28","CreateCompoundRequest","UUID","201 Created"
"02-properties","GET","/v1/compounds/{id}","Bearer token (authenticated user)","CompoundController","getCompoundById","C:\Users\M16-PC\Projects\Sakany\src\main\java\com\theMs\sakany\property\internal\api\controllers\CompoundController.java","35",,"CompoundResponse","200 OK"
"02-properties","POST","/v1/units","Bearer token (authenticated user)","UnitController","createUnit","C:\Users\M16-PC\Projects\Sakany\src\main\java\com\theMs\sakany\property\internal\api\controllers\UnitController.java","29","CreateUnitRequest","UUID","201 Created"
"02-properties","GET","/v1/units/building/{buildingId}","Bearer token (authenticated user)","UnitController","getUnitsByBuilding","C:\Users\M16-PC\Projects\Sakany\src\main\java\com\theMs\sakany\property\internal\api\controllers\UnitController.java","36",,"List<UnitResponse>","200 OK"
"03-access-qr","POST","/v1/access/codes","Bearer token (authenticated user)","AccessController","createAccessCode","C:\Users\M16-PC\Projects\Sakany\src\main\java\com\theMs\sakany\access\internal\api\controllers\AccessController.java","80","CreateAccessCodeRequest","AccessCodeResponse","201 Created"
"03-access-qr","POST","/v1/access/codes/{code}/scan","Bearer token (authenticated user)","AccessController","scanAccessCode","C:\Users\M16-PC\Projects\Sakany\src\main\java\com\theMs\sakany\access\internal\api\controllers\AccessController.java","132","ScanAccessCodeRequest","ScanAccessCodeResponse","201 Created"
"03-access-qr","POST","/v1/access/codes/{codeId}/reactivate","Bearer token (authenticated user)","AccessController","reactivateAccessCode","C:\Users\M16-PC\Projects\Sakany\src\main\java\com\theMs\sakany\access\internal\api\controllers\AccessController.java","159","ReactivateAccessCodeRequest","AccessCodeResponse","201 Created"
"03-access-qr","DELETE","/v1/access/codes/{id}","Bearer token (authenticated user)","AccessController","revokeAccessCode","C:\Users\M16-PC\Projects\Sakany\src\main\java\com\theMs\sakany\access\internal\api\controllers\AccessController.java","149",,"Void","204 No Content"
